name,total_points_last_season,total_mins_last_season,season
Shkodran Mustafi,43,1205,2020-21
Héctor Bellerín,44,1156,2020-21
Sead Kolasinac,55,1694,2020-21
Ainsley Maitland-Niles,41,1382,2020-21
Sokratis Papastathopoulos,57,1696,2020-21
Nacho Monreal,10,270,2020-21
Laurent Koscielny,0,0,2020-21
Konstantinos Mavropanos,0,0,2020-21
Carl Jenkinson,0,0,2020-21
Rob Holding,16,580,2020-21
Pierre-Emerick Aubameyang,205,3136,2020-21
Alexandre Lacazette,118,1867,2020-21
Edward Nketiah,25,628,2020-21
Bernd Leno,114,2649,2020-21
Mesut Özil,53,1439,2020-21
Henrikh Mkhitaryan,4,110,2020-21
Granit Xhaka,73,2586,2020-21
Lucas Torreira,46,1501,2020-21
Mohamed Elneny,0,0,2020-21
Matteo Guendouzi,48,1744,2020-21
David Luiz Moreira Marinho,94,2809,2020-21
Emiliano Martínez,33,770,2020-21
Calum Chambers,42,1102,2020-21
Daniel Ceballos Fernández,57,1687,2020-21
Cédric Soares,61,1553,2020-21
Nicolas Pépé,106,2004,2020-21
Reiss Nelson,30,622,2020-21
Joseph Willock,41,838,2020-21
Gabriel Teodoro Martinelli Silva,39,656,2020-21
Kieran Tierney,42,986,2020-21
Bukayo Saka,71,1746,2020-21
Emile Smith Rowe,4,96,2020-21
Tyreece John-Jules,0,0,2020-21
Pablo Marí,8,113,2020-21
Zech Medley,0,0,2020-21
Matt Macey,0,0,2020-21
Matthew Smith,0,0,2020-21
Ahmed El Mohamady,39,1024,2020-21
James Chester,0,0,2020-21
Neil Taylor,22,1088,2020-21
Kortney Hause,34,1544,2020-21
Jonathan Kodjia,5,111,2020-21
Ørjan Nyland,15,537,2020-21
Conor Hourihane,83,1526,2020-21
Jack Grealish,149,3233,2020-21
Anwar El Ghazi,93,2046,2020-21
John McGinn,84,2312,2020-21
Andre Green,0,0,2020-21
Birkir Bjarnason,0,0,2020-21
Keinan Davis,25,534,2020-21
Henri Lansbury,12,190,2020-21
José Ignacio Peleteiro Romallo,17,329,2020-21
Tom Heaton,59,1794,2020-21
Daniel Drinkwater,6,317,2020-21
Matt Targett,80,2291,2020-21
Wesley Moraes,67,1782,2020-21
Jed Steer,1,7,2020-21
Tyrone Mings,90,2902,2020-21
Ezri Konsa Ngoyo,65,2038,2020-21
Bjorn Engels,42,1446,2020-21
Frédéric Guilbert,62,2038,2020-21
Mahmoud Ahmed Ibrahim Hassan,98,1936,2020-21
Douglas Luiz Soares de Paulo,90,2604,2020-21
Lovre Kalinic,0,0,2020-21
Marvelous Nakamba,43,1826,2020-21
Indiana Vassilev,4,47,2020-21
José Reina,41,1080,2020-21
Mbwana Samatta,29,940,2020-21
Borja González Tomás,2,16,2020-21
Kaine Hayden,0,0,2020-21
Steve Cook,52,2427,2020-21
Nathan Aké,79,2503,2020-21
Charlie Daniels,3,126,2020-21
Chris Mepham,27,911,2020-21
Simon Francis,16,964,2020-21
Adam Smith,49,2055,2020-21
Lloyd Kelly,11,638,2020-21
Diego Rico,84,2333,2020-21
Jack Simpson,4,238,2020-21
Callum Wilson,116,2906,2020-21
Joshua King,99,2010,2020-21
Dominic Solanke,69,1637,2020-21
Sam Surridge,4,25,2020-21
Asmir Begovic,0,0,2020-21
Artur Boruc,0,0,2020-21
Mark Travers,1,90,2020-21
Ryan Fraser,73,2061,2020-21
David Brooks,21,505,2020-21
Junior Stanislas,42,706,2020-21
Jordon Ibe,2,48,2020-21
Lewis Cook,40,1340,2020-21
Andrew Surman,6,234,2020-21
Dan Gosling,54,1254,2020-21
Jefferson Lerma,65,2702,2020-21
Jack Stacey,39,1547,2020-21
Philip Billing,68,2526,2020-21
Arnaut Danjuma Groeneveld,24,625,2020-21
Aaron Ramsdale,126,3330,2020-21
Harry Wilson,91,1637,2020-21
Christian Saydee,0,0,2020-21
Gavin Kilkenny,0,0,2020-21
Mihai-Alexandru Dobre,0,0,2020-21
Shane Duffy,44,1232,2020-21
Martín Montoya,62,1892,2020-21
Bernardo Fernandes da Silva Junior,21,675,2020-21
Leon Balogun,0,0,2020-21
Gaëtan Bong,3,57,2020-21
Lewis Dunk,128,3230,2020-21
Matthew Clarke,0,0,2020-21
Glenn Murray,36,785,2020-21
Jürgen Locadia,3,85,2020-21
Florin Andone,5,71,2020-21
Mathew Ryan,135,3420,2020-21
David Button,0,0,2020-21
Pascal Groß,76,1791,2020-21
Alireza Jahanbakhsh,28,305,2020-21
José Heriberto Izquierdo Mena,0,0,2020-21
Anthony Knockaert,0,0,2020-21
Yves Bissouma,39,1253,2020-21
Davy Pröpper,78,2826,2020-21
Solomon March,38,1139,2020-21
Beram Kayal,0,0,2020-21
Dale Stephens,63,2525,2020-21
Leandro Trossard,104,2004,2020-21
Dan Burn,86,2879,2020-21
Adam Webster,88,2668,2020-21
Neal Maupay,131,2763,2020-21
Aaron Mooy,80,2079,2020-21
Aaron Connolly,61,1250,2020-21
Tudor Baluta,0,0,2020-21
Steven Alzate,33,1181,2020-21
Ezequiel Schelotto,9,357,2020-21
Tariq Lamptey,26,619,2020-21
Alexis Mac Allister,12,348,2020-21
Alex Cochrane,0,0,2020-21
Ben Mee,110,2880,2020-21
James Tarkowski,143,3420,2020-21
Matthew Lowton,48,1530,2020-21
Phil Bardsley,78,1890,2020-21
Charlie Taylor,84,1944,2020-21
Kevin Long,21,562,2020-21
Ben Gibson,0,0,2020-21
Ashley Barnes,61,1350,2020-21
Chris Wood,136,2436,2020-21
Matej Vydra,39,807,2020-21
Nick Pope,170,3420,2020-21
Joe Hart,0,0,2020-21
Johann Berg Gudmundsson,30,617,2020-21
Dwight McNeil,123,3339,2020-21
Robbie Brady,32,445,2020-21
Steven Defour,0,0,2020-21
Jeff Hendrick,67,1930,2020-21
Ashley Westwood,118,3150,2020-21
Jack Cork,70,2614,2020-21
Aaron Lennon,15,485,2020-21
Erik Pieters,77,1876,2020-21
Jay Rodriguez,100,2002,2020-21
Bailey Peacock-Farrell,0,0,2020-21
Mace Goodridge,0,0,2020-21
Anthony Driscoll-Glennon,0,0,2020-21
Abd-Al-Ali Morakinyo Olaposi Koiki,0,0,2020-21
Josh Brownhill,21,805,2020-21
Jimmy Dunne,0,0,2020-21
Bobby Thomas,0,0,2020-21
Max Thompson,1,2,2020-21
Lukas Jensen,0,0,2020-21
Josh Benson,0,0,2020-21
Joel Mumbongo,0,0,2020-21
Marcos Alonso,100,1429,2020-21
Antonio Rüdiger,63,1710,2020-21
César Azpilicueta,130,3229,2020-21
Emerson Palmieri dos Santos,19,1022,2020-21
Andreas Christensen,34,1751,2020-21
Davide Zappacosta,0,0,2020-21
Olivier Giroud,68,988,2020-21
Kepa Arrizabalaga,90,2970,2020-21
Willy Caballero,13,450,2020-21
Willian Borges Da Silva,168,2595,2020-21
Pedro Rodríguez Ledesma,32,659,2020-21
Ruben Loftus-Cheek,12,203,2020-21
Callum Hudson-Odoi,53,849,2020-21
Ross Barkley,61,1095,2020-21
Jorge Luiz Frello Filho,92,2376,2020-21
N'Golo Kanté,57,1730,2020-21
Ethan Ampadu,0,0,2020-21
Christian Pulisic,127,1717,2020-21
Mateo Kovacic,68,2065,2020-21
Kurt Zouma,62,2343,2020-21
Tammy Abraham,153,2206,2020-21
Michy Batshuayi,28,224,2020-21
Robert Kenedy Nunes do Nascimento,0,0,2020-21
Mason Mount,137,2865,2020-21
Reece James,61,1510,2020-21
Fikayo Tomori,48,1291,2020-21
Billy Gilmour,9,191,2020-21
Addji Keaninkin Marc-Israel Guehi,0,0,2020-21
Faustino Anjorin,1,19,2020-21
Armando Broja,1,4,2020-21
Lewis Bate,0,0,2020-21
Patrick van Aanholt,109,2507,2020-21
James Tomkins,48,1582,2020-21
Mamadou Sakho,11,929,2020-21
Joel Ward,77,2380,2020-21
Scott Dann,51,1264,2020-21
Martin Kelly,64,1547,2020-21
Christian Benteke,42,1252,2020-21
Connor Wickham,15,90,2020-21
Vicente Guaita,137,3150,2020-21
Wayne Hennessey,7,270,2020-21
Wilfried Zaha,120,3279,2020-21
Luka Milivojevic,81,2510,2020-21
Andros Townsend,48,1284,2020-21
Max Meyer,23,645,2020-21
Jeffrey Schlupp,51,1030,2020-21
James McArthur,92,3091,2020-21
Cheikhou Kouyaté,85,2524,2020-21
Luke Dreher,0,0,2020-21
James McCarthy,41,1668,2020-21
Jordan Ayew,132,3148,2020-21
Gary Cahill,70,2167,2020-21
Víctor Camarasa,1,5,2020-21
Jairo Riedewald,22,761,2020-21
Stephen Henderson,0,0,2020-21
Sam Woods,0,0,2020-21
Tyrick Mitchell,4,193,2020-21
Brandon Pierrick,2,13,2020-21
James Daly,0,0,2020-21
Nya Kirby,0,0,2020-21
Giovanni McGregor,0,0,2020-21
Nikola Tavares,0,0,2020-21
John-Kymani Gordon,0,0,2020-21
Alex Iwobi,52,1591,2020-21
Lucas Digne,120,3031,2020-21
Yerry Mina,78,2281,2020-21
Michael Keane,90,2556,2020-21
Seamus Coleman,55,1833,2020-21
Leighton Baines,14,400,2020-21
Cenk Tosun,24,462,2020-21
Dominic Calvert-Lewin,126,2621,2020-21
Jordan Pickford,117,3420,2020-21
Maarten Stekelenburg,0,0,2020-21
Richarlison de Andrade,165,3070,2020-21
Gylfi Sigurdsson,95,2555,2020-21
Bernard Anício Caldeira Duarte,72,1269,2020-21
Theo Walcott,63,1281,2020-21
Tom Davies,59,2020,2020-21
Ademola Lookman,0,0,2020-21
Idrissa Gueye,0,0,2020-21
Morgan Schneiderlin,18,998,2020-21
Fabian Delph,24,1187,2020-21
André Filipe Tavares Gomes,39,1457,2020-21
Lewis Gibson,0,0,2020-21
Mason Holgate,71,2052,2020-21
Jonas Lössl,0,0,2020-21
Moise Kean,53,830,2020-21
Jean-Philippe Gbamin,4,135,2020-21
Djibril Sidibé,74,1818,2020-21
Beni Baningime,0,0,2020-21
Anthony Gordon,17,436,2020-21
Oumar Niasse,3,19,2020-21
Rhu-endly Martina,0,0,2020-21
João Manuel Neves Virgínia,0,0,2020-21
Jarrad Branthwaite,11,299,2020-21
Ellis Simms,0,0,2020-21
Ricardo Domingos Barbosa Pereira,123,2520,2020-21
Benjamin Chilwell,114,2374,2020-21
Jonny Evans,128,3384,2020-21
Christian Fuchs,26,770,2020-21
Çaglar Söyüncü,120,3036,2020-21
Wes Morgan,19,430,2020-21
Jamie Vardy,210,3032,2020-21
Kelechi Iheanacho,64,953,2020-21
Kasper Schmeichel,156,3420,2020-21
Eldin Jakupovic,0,0,2020-21
Danny Ward,0,0,2020-21
James Maddison,125,2624,2020-21
Harvey Barnes,133,2075,2020-21
