season,team_name,total_team_points_last_season,total_team_conceded_last_season
2020-21,Arsenal,1619,1019
2020-21,Aston Villa,1318,996
2020-21,Bournemouth,1265,1142
2020-21,Brighton,1389,1013
2020-21,Burnley,1544,1078
2020-21,Chelsea,1687,1044
2020-21,Crystal Palace,1333,1095
2020-21,Everton,1444,860
2020-21,Leicester,1816,1118
2020-21,Liverpool,2101,1033
2020-21,Man City,2100,1109
2020-21,Man Utd,1752,1177
2020-21,Newcastle,1512,991
2020-21,Norwich,1140,1124
2020-21,Sheffield Utd,1594,1142
2020-21,Southampton,1429,1018
2020-21,Spurs,1547,1131
2020-21,Watford,1334,860
2020-21,West Ham,1433,1132
2020-21,Wolves,1655,957
